ClassTissuePost,ClassTissuePre,ClassTissueFlair,ClassTumorPost,ClassTumorPre,ClassTumorFlair,ClassEdemaPost,ClassEdemaPre,ClassEdemaFlair
1.0219059,1.1606417,1.2260354,1.8360445,0.9103314,1.1385242,1.0499276,1.1417737,1.6220999
1.173016,1.3605679,1.8749361,1.4750332,1.3369874,2.2879725,0.93126893,1.0665915,1.6474555
0.837022,0.9956085,0.84816027,1.7438631,1.4384232,1.5325197,1.0794973,1.1174971,1.1254497
0.4877766,0.52549076,0.46033043,1.154538,0.5479314,0.54078686,1.1596171,1.2205882,1.1295788
0.5107684,0.24098633,0.12774335,1.3367536,1.2705609,1.5438998,1.1079056,1.0892383,1.2382843
0.18764175,0.70881003,0.20884447,0.91359735,1.0010122,0.71358585,0.913986,1.0240949,1.7244521
0.25242093,0.2251599,0.08373335,1.6860594,0.9529496,0.9789976,1.0280402,1.1436958,1.6107756
0.06445723,0.055613168,0.021455873,1.7750379,1.2236669,2.1458013,1.3656536,1.3203756,1.3712425
1.0606542,1.1656092,1.0752723,1.7068733,1.1366055,1.4531956,0.9586784,1.1142068,1.2100544
1.0570436,1.1454498,1.3073262,1.4613715,0.75341535,0.7861282,0.99701035,1.1636771,1.6273229
0.7567157,0.8790003,0.6928559,1.2740176,0.9625751,1.1658503,0.97919303,1.1585137,1.0292097
1.6006703,0.8712076,0.6125842,1.6207166,1.1495991,1.5600642,1.0663722,1.1186539,1.1354041
0.0866231,0.3158082,0.088572234,1.4760084,0.9250759,1.1497414,1.1818403,1.1925184,1.0677878
0.025632141,0.078667544,0.07799783,1.5256734,1.1607281,1.3806728,1.2104608,1.1567215,1.2003114
1.0837952,1.1628336,1.0571948,1.7841346,1.3000838,1.3480514,1.0505395,1.1276894,1.5244337
1.0056688,1.1338196,0.9996397,2.1783512,1.4155102,1.6939229,1.0292656,1.0616534,1.5113353
0.07464184,0.33825472,0.03980236,2.2114713,0.84786415,0.8636187,1.0059037,1.0987308,1.0880888
0.9491283,1.1688671,1.1873231,1.7758648,0.95322657,0.8138917,1.0165074,1.1081758,1.0866257
0.93951565,1.0014523,1.0316435,1.2403435,1.3058425,1.5353996,1.1630825,1.1360697,1.0593683
0.2491777,0.119116664,0.2594054,1.5715178,1.398282,1.3340623,1.0127059,1.078911,1.381802
0.92009395,1.1087198,1.1231745,1.5188833,1.212961,1.5539857,1.0790164,1.1199956,1.2727573
1.0763012,1.1796894,1.1814294,1.7456396,1.0112891,0.94435227,1.0610045,1.1252204,1.4897864
0.8437539,0.60626,0.2836286,2.0332878,1.251764,1.6244109,1.1681163,1.1542631,1.289945
0.9844081,1.1686954,1.0711111,2.1047556,1.2408546,1.8233582,1.211965,1.2173766,1.2594961
0.7485216,0.45404622,0.26476383,1.5278081,1.2016361,1.5138676,0.872198,1.0350132,1.1899831
0.097985595,0.95516795,0.22898026,1.5414363,1.1469156,1.6089182,0.8914824,1.0424919,1.1402918
1.4371778,0.7818706,0.74289083,1.3750893,1.1365796,1.7754871,1.05067,1.1012077,1.3186888
0.60641694,0.3909073,0.2333449,1.5151081,1.1545558,1.362668,1.0015707,1.0729132,1.3527551
1.1056467,1.1186941,1.1846509,1.7778755,1.5596073,1.5324328,1.0478634,1.1093102,1.1655269
1.0512276,1.0381168,0.9958074,1.4324045,1.2331748,1.3761381,1.1620818,1.0989767,1.282819
1.0250701,1.1686506,1.1283429,1.7590771,0.96045476,1.1560061,0.9616695,1.0989001,1.5913346
0.6108136,0.4945928,0.13815081,1.5957313,1.8118736,1.6488755,0.9518654,1.0756098,1.5886761
0.0956887,1.5019236,0.7683303,0.98944765,0.6352008,0.1896505,1.1126916,1.1696519,1.0700568
0.032203596,0.20948374,0.054822844,1.3293935,1.0791628,1.5229352,1.1538445,1.057399,1.4176838
1.0103688,1.0162085,1.1683908,1.0782129,1.2843629,1.4466128,1.0825809,1.1354651,1.0722083
0.9414597,1.1488866,1.1566262,1.1257106,0.7221786,0.67662585,1.0923465,1.1102293,1.3607866
0.0715501,0.105044216,0.050728086,2.0155675,1.2075772,1.3003602,0.8825425,1.0753466,1.5490378
0.9647944,0.9299175,1.0665282,1.110815,1.404108,2.4667208,1.0421807,1.1040595,1.6638815
0.54747516,0.86514276,0.7225165,2.4021916,0.82406163,0.8138955,1.109109,1.1600882,1.2608118
0.2645483,0.087417565,0.10844276,1.517576,1.2039043,1.2010616,1.0104485,1.1261152,1.2439551
0.05454728,0.2041339,0.1564992,1.6581613,1.1416439,1.2197341,1.208369,1.2071763,1.2455281
0.021267595,0.10167829,0.053764578,1.6294773,1.1205922,1.3048408,1.0689094,1.1189805,1.4774412
0.10037373,0.39106244,0.21492474,1.8741037,0.95085907,0.8897755,0.9493466,1.0853118,1.138652
0.91454715,1.1535938,1.2133893,1.2833066,0.946149,1.1555572,1.095196,1.1106353,1.430311
0.06578957,1.1225402,0.91633797,1.6020944,1.2446841,1.5825987,0.98124427,1.0079643,1.6182566
0.29359934,0.2892466,0.1939977,2.1968741,1.2653234,1.6926305,0.8796034,0.9499276,1.6964687
1.0069629,1.1250303,1.0859106,2.110244,1.5767658,2.1256733,0.88668674,1.0328512,1.7029011
